source	target	weight	direction	fromAltName	toAltName
g__Cystoseira	g__Iberobathynella	0.106346635257577	undirected	-	-
g__Cystoseira	s__Liobagrus_marginatoides	0.1166792262805	undirected	-	-
g__Cystoseira	g__Yamagishiella	0.115095561165956	undirected	-	-
g__Cystoseira	g__Ulva	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Coccotylus	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Lithothamnion	0.10103716535110199	undirected	-	-
g__Cystoseira	g__Rugulopteryx	0.125449760475374	undirected	-	-
g__Cystoseira	g__Cystophora	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Pelagophycus	0.11754719686932999	undirected	-	-
g__Cystoseira	g__norank_f__Izemoplasmataceae	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Desulfurispora	0.11754719686932999	undirected	-	-
g__Cystoseira	g__norank_f__GWF2-44-16	0.11754719686932999	undirected	-	-
g__Cystoseira	s__Squalidus_argentatus	0.124854721345912	undirected	-	-
g__Cystoseira	s__Squalidus_iijimae	0.11414167875078	undirected	-	-
g__Cystoseira	s__Xiphias_gladius	0.12167157099408198	undirected	-	-
g__Cystoseira	s__Plectropomus_leopardus	0.121101770521523	undirected	-	-
g__Cystoseira	s__Liobagrus_styani	0.111386407262908	undirected	-	-
g__Cystoseira	s__Tachysurus_fulvidraco	0.119637571384948	undirected	-	-
g__Cystoseira	s__Mugil_cephalus	0.117685988170562	undirected	-	-
g__Cystoseira	g__Tolypocladium	0.11823338630732301	undirected	-	-
g__Cystoseira	g__Kempnyia	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Neopodospongia	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Scopelocheirus	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Palauastrea	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Caledonicrinus	0.123615456724879	undirected	-	-
g__Cystoseira	g__Pteroclava	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Bullacta	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Pollia	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Cosmioconcha	0.11754719686932999	undirected	-	-
g__Cystoseira	g__Laspionchis	0.11754719686932999	undirected	-	-
g__Iberobathynella	g__Pallenopsis	0.10776654216596801	undirected	-	-
g__Iberobathynella	s__Liobagrus_marginatoides	0.134067120449495	undirected	-	-
g__Iberobathynella	g__Yamagishiella	0.122964376250555	undirected	-	-
g__Iberobathynella	g__Ulva	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Coccotylus	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Lithothamnion	0.116416902232059	undirected	-	-
g__Iberobathynella	g__Rugulopteryx	0.123864841776117	undirected	-	-
g__Iberobathynella	g__Cystophora	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Pelagophycus	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__norank_f__Izemoplasmataceae	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Desulfurispora	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__norank_f__GWF2-44-16	0.12247840348606599	undirected	-	-
g__Iberobathynella	s__Squalidus_argentatus	0.14338517656490102	undirected	-	-
g__Iberobathynella	s__Squalidus_iijimae	0.135789942039619	undirected	-	-
g__Iberobathynella	s__Xiphias_gladius	0.136488667170674	undirected	-	-
g__Iberobathynella	s__Plectropomus_leopardus	0.13470844732778697	undirected	-	-
g__Iberobathynella	s__Liobagrus_styani	0.125549990466275	undirected	-	-
g__Iberobathynella	s__Tachysurus_fulvidraco	0.13469245044642097	undirected	-	-
g__Iberobathynella	s__Mugil_cephalus	0.133993954337027	undirected	-	-
g__Iberobathynella	s__Planiliza_macrolepis	0.12128767096414801	undirected	-	-
g__Iberobathynella	g__Tolypocladium	0.11833421741199301	undirected	-	-
g__Iberobathynella	g__Fuscoporia	0.11578035645997198	undirected	-	-
g__Iberobathynella	g__Kempnyia	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Neopodospongia	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Eucrate	0.12033107796713799	undirected	-	-
g__Iberobathynella	g__Scopelocheirus	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Palauastrea	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Caledonicrinus	0.119589626514805	undirected	-	-
g__Iberobathynella	g__Pteroclava	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Proboscidactyla	0.11385289112933099	undirected	-	-
g__Iberobathynella	g__Bullacta	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Pollia	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Cosmioconcha	0.12247840348606599	undirected	-	-
g__Iberobathynella	g__Laspionchis	0.12247840348606599	undirected	-	-
g__Pallenopsis	s__Liobagrus_marginatoides	0.115247323308504	undirected	-	-
g__Pallenopsis	g__Yamagishiella	0.11764880051643699	undirected	-	-
g__Pallenopsis	g__Ulva	0.12078176519243	undirected	-	-
g__Pallenopsis	g__Coccotylus	0.12078176519243	undirected	-	-
g__Pallenopsis	g__Lithothamnion	0.10203787757622199	undirected	-	-
g__Pallenopsis	g__Rugulopteryx	0.127346612449865	undirected	-	-
g__Pallenopsis	g__Cystophora	0.12078176519243	undirected	-	-
g__Pallenopsis	g__Pelagophycus	0.12078176519243	undirected	-	-
g__Pallenopsis	g__norank_f__Izemoplasmataceae	0.12078176519243	undirected	-	-
g__Pallenopsis	g__Desulfurispora	0.12078176519243	undirected	-	-
