id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Microspongium	g__Microspongium	0.518639339114442	g__Microspongium	0.4281	turquoise	-0.171	-0.0417	-0.119	-0.232	-0.163	-0.133	0.0395	-0.175	0.0639	-0.138
g__MM2	g__MM2	13.8343719573647	g__MM2	0.8196	turquoise	0.275	0.0773	-0.0329	0.0227	0.0057	-0.201	-0.0662	0.0763	-0.0139	-0.0721
g__Montagnia	g__Montagnia	0.9769669093784019	g__Montagnia	0.4864	turquoise	-0.0676	0.255	-0.0865	-0.0788	-0.0543	-0.0561	0.0203	-0.101	-0.0388	0.231
g__Mychodea	g__Mychodea	8.27849187402818	g__Mychodea	0.762	turquoise	-0.21	-0.025	-0.0674	-0.152	-0.107	0.134	0.0655	-0.197	0.195	0.0624
g__Nannochloris	g__Nannochloris	7.17578587469542	g__Nannochloris	0.7285	turquoise	-0.508	0.202	-0.239	-0.0917	-0.113	-0.234	0.0233	0.104	0.0823	0.195
g__Nannocystis	g__Nannocystis	8.551920463097709	g__Nannocystis	0.7563	turquoise	0.0803	0.121	0.676	-0.0178	0.116	-0.156	-0.199	-0.0126	-0.0428	-0.0097
g__Nebela	g__Nebela	0.273160248160261	g__Nebela	0.3791	turquoise	-0.0447	-0.0246	-0.14	-0.13	-0.148	0.24	0.333	-0.199	0.0214	-0.158
g__Nemacystus	g__Nemacystus	1.06783472290525	g__Nemacystus	0.5054	turquoise	-0.0147	-0.0518	-0.155	-0.0151	-0.0061	-0.0307	-0.01	-0.137	0.0544	0.0175
g__Neochlamydia	g__Neochlamydia	10.803994983126302	g__Neochlamydia	0.7833	turquoise	0.16	0.0751	-0.0343	-0.019	0.131	-0.104	-0.093	0.0268	-0.038	0.0258
g__Neopestalotiopsis	g__Neopestalotiopsis	0.345347036879624	g__Neopestalotiopsis	0.3475	turquoise	-0.311	-0.373	-0.0758	-0.126	-0.0769	0.0983	0.0016	-0.164	0.467	0.239
g__Nephroselmis	g__Nephroselmis	0.388755192986248	g__Nephroselmis	0.3978	turquoise	-0.113	-0.151	-0.0913	-0.176	-0.243	-0.0508	-0.1	-0.071	0.0358	-0.104
